id,Degerlendirme Puani
0,36.61894896
1,20.29658673
2,8.401462458
3,21.57569783
4,37.27867076
5,36.26674224
6,11.51490206
7,9.731363378
8,16.74089629
9,7.706324147
10,39.39852719
11,45.28843381
12,33.3191601
13,50.08323902
14,19.99955529
15,36.16964408
16,24.45485605
17,31.22531367
18,40.8130974
19,35.14673273
20,23.41199497
21,12.96529941
22,23.86119962
23,19.49541403
24,39.29197941
25,11.00523036
26,14.38501038
27,43.52442628
28,36.79315404
29,41.83057913
30,19.4481772
31,33.08939844
32,12.73871202
33,33.74387777
34,31.99240628
35,28.76797976
36,33.01594052
37,25.00005261
38,21.38025589
39,48.03751965
40,40.28619829
41,30.93377125
42,52.52449652
43,34.28829075
44,39.53857223
45,23.12329779
46,25.06742181
47,37.15050664
48,53.87113205
49,32.32842809
50,34.91307592
51,29.03847059
52,15.70250835
53,53.19430099
54,43.44845597
55,51.08968008
56,51.80017089
57,22.80799724
58,38.64495731
59,26.48957854
60,17.43550031
61,30.66360416
62,15.6542611
63,52.67312313
64,25.72719185
65,53.76910738
66,55.73743445
67,25.76434793
68,36.5513546
69,20.95805052
70,55.32161247
71,21.87754887
72,37.06142188
73,38.64885766
74,12.10610634
75,14.27818915
76,18.54443029
77,46.95556516
78,7.482174109
79,25.84674403
80,19.22900681
81,61.23361051
82,29.43223771
83,32.94396168
84,29.2250571
85,8.870461574
86,30.27796729
87,37.27738357
88,36.39708871
89,34.25080244
90,50.41487149
91,34.88270151
92,24.25853136
93,29.46624842
94,11.34083376
95,15.23874876
96,56.10680465
97,37.987258
98,11.36718211
99,15.68396723
100,42.830099
101,47.93395463
102,18.26570036
103,34.30711884
104,40.35534572
105,36.66457911
106,35.45484009
107,42.52933278
108,34.92724547
109,30.94594408
110,23.52568459
111,9.324305376
112,11.73175373
113,37.38805076
114,36.72412109
115,49.56219948
116,17.89491536
117,34.7167274
118,42.88923502
119,43.99392367
120,12.37627073
121,28.9252229
122,51.34148498
123,35.05819102
124,23.63054825
125,34.03150709
126,33.7595798
127,24.9261114
128,15.96540832
129,36.73657472
130,16.18649293
131,25.16413914
132,30.30922566
133,40.4744757
134,39.00196225
135,36.17749735
136,46.60807424
137,51.65420462
138,47.59168112
139,59.46198848
140,36.04624345
141,20.60885109
142,29.77372358
143,26.79973112
144,22.88708185
145,21.16931651
146,22.02873369
147,47.68120323
148,23.35032714
149,54.52863505
150,13.97298544
151,49.10820586
152,34.16923504
153,39.08436214
154,26.28579892
155,42.68193168
156,46.59851056
157,12.56696781
158,20.24688187
159,36.34303483
160,46.69079853
161,40.65434785
162,12.95138345
163,12.65832553
164,49.18605517
165,41.66478863
166,35.88220076
167,35.28075608
168,29.50608617
169,25.03145088
170,25.52817169
171,42.85837642
172,28.43714261
173,56.26023997
174,45.32109157
175,45.68141179
176,57.94193901
177,10.07534934
178,55.17691944
179,19.22327711
180,57.65671146
181,52.88519209
182,50.67069385
183,34.737134
184,33.78377812
185,10.59008327
186,50.325328
187,55.91179239
188,16.0016598
189,21.23439221
190,14.03895062
191,31.7558748
192,23.0065413
193,41.49741774
194,37.33829145
195,49.08635501
196,18.29958401
197,40.40282318
198,48.47923089
199,36.71089701
200,15.44356099
201,51.42425132
202,43.72461061
203,35.44639952
204,39.1089831
205,10.80623526
206,32.78366017
207,15.95503417
208,28.7923839
209,28.77529134
210,48.96977768
211,23.40983704
212,41.70974805
213,23.33076776
214,24.35061705
215,44.91926243
216,47.1991629
217,30.32349334
218,19.14244025
219,46.96351101
220,42.90091182
